name,status,text
くさった死体,implemented_or_generic,召喚時：敵リーダーの武器を破壊する
バードファイター,no_effect,
スライムナイト,implemented_or_generic,死亡時：1/1のスライムをこのマスに出す
なげきムーン,implemented_or_generic,召喚時：味方リーダーのHPが15以下の場合+2/+2と貫通を得る。
ツンドラキー,implemented_or_generic,味方リーダーのHPが20以上の間攻撃力+2とねらい撃ちを得る
マドハンド,implemented_or_generic,召喚時：このユニットの上下にマドハンドを出す
さまようたましい,implemented_or_generic,攻撃時：このターン中攻撃力+3
ミミック,implemented_or_generic,死亡時：相手はカードを引く
ゴーレム,implemented_or_generic,におうだち
ダッシュラン,implemented_or_generic,召喚時：前列にいるユニット1体を後列に移動させる
あやしいかげ,implemented_or_generic,ステルス
ホークマン,implemented_or_generic,ねらい撃ち
マポレーナ,implemented_or_generic,召喚時： 味方ユニット1体を+1/+1
ミケまどう,implemented_or_generic,召喚時：後列にいるユニット1体に1ダメージ
ボーンナイト,implemented_or_generic,貫通
からくりだいみょう,implemented_or_generic,召喚時：味方ユニット1体をこのユニットの前後に移動させる
フェアリードラゴン,implemented_or_generic,死亡時：味方リーダーのテンション+1
ふくまねき,implemented_or_generic,死亡時：カードを1枚引く
グリゴンダンス,implemented_or_generic,テンションリンク：全てのユニットに1ダメージ
トドマン,implemented_or_generic,このユニットに自分が特技を使う度攻撃力+1
ガチャコッコ,implemented_or_generic,におうだち、召喚時：敵ユニット1体につき攻撃力＋1
はぐれメタル,implemented_or_generic,速攻、メタルボディ
スライムタワー,implemented_or_generic,召喚時：カードを1枚捨てた後カードを1枚引く
ドラゴンキッズ,implemented_or_generic,召喚時：正面にいる全ての敵ユニットに1ダメージ
アローインプ,implemented_or_generic,後列から攻撃する場合敵ユニットから反撃を受けない
メガザルロック,implemented_or_generic,死亡時：コスト2以下のランダムな味方ユニット1体を復活させる
つららスライム,implemented_or_generic,召喚時：1マス前にいるユニットの攻撃力-2
メタルハンター,implemented_or_generic,召喚時：メタルボディを持つユニット1体を死亡させる
どろにんぎょう,implemented_or_generic,召喚時：次の相手のターン相手のMPが1減る
ジャガーメイジ,implemented_or_generic,召喚時：敵ユニットが3体以上いる場合全ての敵ユニットに1ダメージ
キャットバット,implemented_or_generic,召喚時：このユニットの前後にキャットバットを出す
コサックシープ,implemented_or_generic,召喚時：味方ユニット1体を手札に戻す
じんめんガエル,implemented_or_generic,後列にいる場合攻撃力+5
ドラキーマ,implemented_or_generic,召喚時：ユニット1体を次のターン攻撃不能にする
クイーンスライム,implemented_or_generic,このユニットを除くスライム系の味方ユニット全てを+1/+1
ばくだん岩,implemented_or_generic,死亡時：前列にいる全てのユニットに2ダメージ
ドラゴン,implemented_or_generic,死亡時：相手の手札に王女の愛を加える
ドラムゴート,implemented_or_generic,テンションカードを1ターンに2回まで使える
ボル&ブル,implemented_or_generic,2回攻撃
ふくぶくろ,implemented_or_generic,召喚時：両プレイヤーはカードを２枚引く
スウィートバッグ,implemented_or_generic,テンションリンク：前にいる味方ユニットに貫通、ねらい撃ち、2回攻撃のいずれか1つを付与する。
ナイトウォーカー,implemented_or_generic,自分のターン終了時相手の手札が3枚以下の場合攻撃力+1とステルスを得る
デザートランナー,implemented_or_generic,召喚時:地形マスに召喚された場合速攻を得る。
アカイライ,implemented_or_generic,自分のターン終了時このユニットがダメージを受けているならカードを1枚引く。
ヒッポキング,implemented_or_generic,貫通、敵リーダーのテンションが上がる度攻撃力+2
サブナック,implemented_or_generic,召喚時：指定の敵マスに2/1のスライムベスを出す
ドロザラー,implemented_or_generic,召喚時:指定のマスの地形を破壊する
どくろ大臣,implemented_or_generic,死亡時:コスト2以下のランダムなゾンビ系の味方ユニット1体をこのマスに復活させる
ブラッドレディ,implemented_or_generic,召喚時：ユニット1体に2ダメージ
もりもりスライム,implemented_or_generic,召喚時：1/1のスライムを1体出す。
エビルマスター,implemented_or_generic,召喚時：自分のデッキからスライム系、ドラゴン系、ゾンビ系のいずれか1枚を引く
パペットマン,implemented_or_generic,召喚時：最大MPが1減る
妖魔軍王ブギー,implemented_or_generic,召喚時：敵の冒険者1体をこのユニットが場にいる間+2/+2して味方にする
アビスソルジャー,no_effect,
オオカミ,implemented_or_generic,速攻
シーゴーレム,implemented_or_generic,召喚時：味方ヒーローがいる場合HP+2とにおうだちを得る
ドッグスナイパー,implemented_or_generic,ねらい撃ち、戦闘以外のダメージで敵ユニットが死亡する度攻撃力+1
タップペンギー,no_effect,
ライノソルジャー,implemented_or_generic,スキルブースト：HP+1
シャドウベビー,implemented_or_generic,ステルス、貫通
ほねコウモリ,implemented_or_generic,召喚時：このユニットに3ダメージを与える
はしりとかげ,implemented_or_generic,いずれかのプレイヤーのヒーロースキルが発動した後味方リーダーを3回復
スモールグール,implemented_or_generic,絶好調、自分のターン終了時このユニットが絶好調状態なら前後にスモールグールを出す。 その後絶好調状態ではなくなる。
スケアフレイル,implemented_or_generic,におうだち
ラプソーン,implemented_or_generic,死亡時：ランダムな敵ユニット1体に「死亡時：相手の場にラプソーン1体を出す」を付与する
ごうけつぐま,implemented_or_generic,絶好調、このユニットが絶好調状態なら攻撃力+2と「敵リーダーを攻撃できない」を得る
マージスター,implemented_or_generic,召喚時：全ての味方のHPを2回復
ちんもくのひつじ,implemented_or_generic,召喚時：正面にいるランダムな敵ユニット1体を封印する。
サンチョ,implemented_or_generic,におうだち
ダークペルシャ,implemented_or_generic,召喚時:敵ユニットが3体以上いる場合GET(1)、BET:全てのユニットに1ダメージ
だいおうイカ,implemented_or_generic,死亡時:GET(2)
かっちゅうアリ,implemented_or_generic,BET：1ターンに1回のみ、攻撃力+1/HP+1。自分のターン終了時にGET(1)。このGETは1度だけ発動する。
ヘルコンダクター,implemented_or_generic,召喚時：全ての敵ユニットの位置を前後入れ替える。スキルブースト:攻撃力+1
黄金兵,implemented_or_generic,におうだち、自分がコインを使う度このターン中手札にあるこのカードのコスト-2
