pool,name,cost,attack,hp,class,tribe,official_effect_text_from_cards_json,official_url,official_reference_status,v230_static_status,name_in_app_js,tracked_in_implemented_reports,mechanics_detected,risk_priority,recommended_next_action,v232_status,v232_note,v233_status,v233_note
cost2_unit_random_pool,よるのていおう,2,2,2,共通,なし,テンションリンク：後列にいるランダムな敵ユニット1体を前列のランダムな空きマスに移動させる,https://gameconductor.com/dqrivals/c/d/62,official_detail_url_present_in_cards_json,REVIEW_NAME_MENTIONED_ONLY,yes,no,tension_link|position|target_modal|random,A_COMPLEX_NAME_ONLY,公式文面どおり個別実装の有無を確認。,PASS2_STILL_QUEUE,第2段階では未処理。次パスで公式DB詳細URL/効果文と実装を照合。,PATCHED_OR_RECONFIRMED,補強済み：テンションリンク時に敵後列→敵前列空きへランダム移動。既存処理も確認。
cost2_unit_random_pool,エマ,2,1,2,盗賊,冒険者,召喚時:次の相手のターン終了時までステルスを得る。味方リーダーが攻撃した後やくそうを手札に加え味方リーダーのMPを1回復,https://gameconductor.com/dqrivals/c/d/1311,official_detail_url_present_in_cards_json,REVIEW_NAME_MENTIONED_ONLY,yes,no,summon|turn_end|hand|basic_keyword,A_COMPLEX_NAME_ONLY,手札から召喚時のみ発動。ランダムで場に出た場合に発動しないことを確認。,PASS2_STILL_QUEUE,第2段階では未処理。次パスで公式DB詳細URL/効果文と実装を照合。,PATCHED_OR_RECONFIRMED,補強済み：召喚時ステルス、味方リーダー攻撃後やくそう追加+MP1回復。
cost2_unit_random_pool,キーファ,2,3,2,商人,冒険者,死亡時:自分がこのユニットに使った特技カード全てを自分の手札に加える。,https://gameconductor.com/dqrivals/c/d/493,official_detail_url_present_in_cards_json,OK_TRACKED_IMPLEMENTED,yes,yes,death|hand,B_RECENTLY_FIXED_RECHECK,直近修正済み。公式文面との一致を再テスト対象にする。,PASS2_STILL_QUEUE,第2段階では未処理。次パスで公式DB詳細URL/効果文と実装を照合。,PATCHED_OR_RECONFIRMED,再確認済み：対象選択された自分の特技を記録し、死亡時に手札へ戻す。
cost2_unit_random_pool,ダークプラネット,2,3,2,共通,なし,選択：・ダンジョンではない敵建物１つの耐久値を2にする。・ダンジョンではない敵建物1つの耐久値を-2,https://gameconductor.com/dqrivals/c/d/1460,official_detail_url_present_in_cards_json,REVIEW_NAME_MENTIONED_ONLY,yes,no,choose|building|dungeon,A_COMPLEX_NAME_ONLY,公式文面どおり個別実装の有無を確認。,PASS2_STILL_QUEUE,第2段階では未処理。次パスで公式DB詳細URL/効果文と実装を照合。,PATCHED_OR_RECONFIRMED,実装済み：選択モーダル→ダンジョンでない敵建物を選択し、耐久2固定 or 耐久-2。
cost2_unit_random_pool,チャゴス王子,2,2,2,僧侶,冒険者,召喚時：GET(1)。BET：速攻を得る。このユニットが攻撃対象として選択された時、手札に戻る,https://gameconductor.com/dqrivals/c/d/1182,official_detail_url_present_in_cards_json,REVIEW_NAME_MENTIONED_ONLY,yes,no,summon|bet|get|choose|hand|basic_keyword,A_COMPLEX_NAME_ONLY,GET/BET入口、1ターン1回制限、累積カウント、コイン消費時誘発を確認。,PASS2_STILL_QUEUE,第2段階では未処理。次パスで公式DB詳細URL/効果文と実装を照合。,PATCHED_OR_RECONFIRMED,補強済み：召喚時GET(1)、BET速攻、攻撃対象に選ばれた時手札へ戻る。
cost2_unit_random_pool,マジックフライ,2,1,1,魔法使い,なし,死亡時：自分のデッキから特技カードを1枚引く,https://gameconductor.com/dqrivals/c/d/206,official_detail_url_present_in_cards_json,REVIEW_NAME_MENTIONED_ONLY,yes,no,death|deck_search|draw,A_COMPLEX_NAME_ONLY,死亡時のみ。消滅/変身/手札戻しでは発動しないことを確認。,PASS2_STILL_QUEUE,第2段階では未処理。次パスで公式DB詳細URL/効果文と実装を照合。,PATCHED_OR_RECONFIRMED,補強済み：死亡時、山札から特技カードを1枚引く。
cost2_unit_random_pool,マリンスライム,2,2,3,武闘家,スライム,スキルブースト：攻撃力+1,https://gameconductor.com/dqrivals/c/d/766,official_detail_url_present_in_cards_json,OK_TRACKED_IMPLEMENTED,yes,yes,skill_boost,B_RECENTLY_FIXED_RECHECK,直近修正済み。公式文面との一致を再テスト対象にする。,PASS2_STILL_QUEUE,第2段階では未処理。次パスで公式DB詳細URL/効果文と実装を照合。,PATCHED_OR_RECONFIRMED,再確認済み：召喚時点のテンションスキル使用回数ぶん、スキルブースト攻撃力+1を反映。
cost2_unit_random_pool,リザードキッズ,2,5,3,共通,ドラゴン,攻撃時：このターン中攻撃力-3。,,official_detail_url_missing,REVIEW_NAME_MENTIONED_ONLY,yes,no,attack,A_OFFICIAL_URL_MISSING,公式DB詳細URLの再取得が先。名前検索で公式IDを確認してから実装照合。,PASS2_STILL_QUEUE,第2段階では未処理。次パスで公式DB詳細URL/効果文と実装を照合。,PATCHED_OR_RECONFIRMED,修正済み：攻撃後ではなく攻撃宣言時にこのターン攻撃力-3。
cost3_unit_random_pool,びっくりサタン,3,2,3,占い師,なし,自分の占いで(1)の効果が発動する度カードを1枚引く,https://gameconductor.com/dqrivals/c/d/327,official_detail_url_present_in_cards_json,REVIEW_NAME_MENTIONED_ONLY,yes,no,fortune|draw,A_COMPLEX_NAME_ONLY,通常/必中/超必中、占い(1)/(2)誘発リスナーを確認。,PASS2_STILL_QUEUE,第2段階では未処理。次パスで公式DB詳細URL/効果文と実装を照合。,PATCHED_OR_RECONFIRMED,再確認済み：自分の占いで(1)発動時、1ドロー。
cost3_unit_random_pool,ウィッチレディ,3,3,3,魔法使い,なし,自分が特技を使って敵ユニットを倒す度味方リーダーのテンション+1,https://gameconductor.com/dqrivals/c/d/390,official_detail_url_present_in_cards_json,OK_TRACKED_IMPLEMENTED,yes,yes,,B_RECENTLY_FIXED_RECHECK,直近修正済み。公式文面との一致を再テスト対象にする。,PASS2_STILL_QUEUE,第2段階では未処理。次パスで公式DB詳細URL/効果文と実装を照合。,PATCHED_OR_RECONFIRMED,再確認済み：特技で敵ユニットを倒した時、味方リーダーテンション+1。
cost3_unit_random_pool,ウパソルジャー,3,1,5,戦士,なし,絶好調、絶好調状態の味方ユニットが攻撃する度このターン中味方リーダーは攻撃力+1を得る,https://gameconductor.com/dqrivals/c/d/987,official_detail_url_present_in_cards_json,REVIEW_NAME_MENTIONED_ONLY,yes,no,zekkocho,A_COMPLEX_NAME_ONLY,公式文面どおり個別実装の有無を確認。,PASS2_STILL_QUEUE,第2段階では未処理。次パスで公式DB詳細URL/効果文と実装を照合。,PATCHED_OR_RECONFIRMED,修正済み：絶好調味方ユニットの攻撃宣言時に味方リーダー攻撃力+1。
cost3_unit_random_pool,オーガー,3,4,3,占い師,なし,天啓の神域の効果によってデッキから手札にこのカードが加わった場合、ランダムな敵ユニットに3ダメージ,https://gameconductor.com/dqrivals/c/d/529,official_detail_url_present_in_cards_json,NEEDS_EFFECT_REVIEW,no,no,random|deck_search|hand,A_NEEDS_EFFECT_REVIEW,公式文面どおり個別実装の有無を確認。,PASS2_STILL_QUEUE,第2段階では未処理。次パスで公式DB詳細URL/効果文と実装を照合。,PATCHED_OR_RECONFIRMED,実装済み：天啓の神域で山札から手札に加わった場合、ランダムな敵ユニットに3ダメージ。
cost3_unit_random_pool,グレムリン,3,2,4,僧侶,なし,味方が回復する度攻撃力+1,https://gameconductor.com/dqrivals/c/d/261,official_detail_url_present_in_cards_json,NEEDS_EFFECT_REVIEW,no,no,heal_trigger,A_NEEDS_EFFECT_REVIEW,公式文面どおり個別実装の有無を確認。,PASS2_STILL_QUEUE,第2段階では未処理。次パスで公式DB詳細URL/効果文と実装を照合。,PATCHED_OR_RECONFIRMED,実装済み：味方が回復する度、自身の攻撃力+1。
cost3_unit_random_pool,ケセランパセラン,3,4,3,占い師,なし,自分の占いで(1)の効果が発動する度味方リーダーのHPを2回復,https://gameconductor.com/dqrivals/c/d/328,official_detail_url_present_in_cards_json,REVIEW_NAME_MENTIONED_ONLY,yes,no,fortune,A_COMPLEX_NAME_ONLY,通常/必中/超必中、占い(1)/(2)誘発リスナーを確認。,PASS2_STILL_QUEUE,第2段階では未処理。次パスで公式DB詳細URL/効果文と実装を照合。,PATCHED_OR_RECONFIRMED,再確認済み：自分の占いで(1)発動時、味方リーダーHP2回復。
cost3_unit_random_pool,シルバーベア,3,2,4,武闘家,なし,れんけい：このターン中速攻と「敵リーダーを攻撃できない」を得る。スキルブースト:攻撃力+1,https://gameconductor.com/dqrivals/c/d/1269,official_detail_url_present_in_cards_json,REVIEW_NAME_MENTIONED_ONLY,yes,no,renkei|skill_boost|basic_keyword,A_COMPLEX_NAME_ONLY,テンション3条件のみ・テンション非消費・対象/場に出す/召喚時不発を確認。,PASS2_STILL_QUEUE,第2段階では未処理。次パスで公式DB詳細URL/効果文と実装を照合。,PATCHED_OR_RECONFIRMED,補強済み：スキルブースト攻撃力+1、れんけい時は速攻+敵リーダー攻撃不可。
cost3_unit_random_pool,デスパロット,3,2,3,商人,なし,味方ヒーローのヒーロースキルが発動した後道具カード2枚を手札に加える,https://gameconductor.com/dqrivals/c/d/881,official_detail_url_present_in_cards_json,REVIEW_NAME_MENTIONED_ONLY,yes,no,hand,A_COMPLEX_NAME_ONLY,公式文面どおり個別実装の有無を確認。,PASS2_STILL_QUEUE,第2段階では未処理。次パスで公式DB詳細URL/効果文と実装を照合。,PATCHED_OR_RECONFIRMED,再確認済み：味方ヒーロースキル発動後、道具カード2枚を手札へ。
cost3_unit_random_pool,フォステイル,3,2,4,占い師,冒険者,おうえん、自分のターン開始時ランダムな占いを持つカード1枚を手札に加える。そのカードのコスト-1。スキルリンク：1ターン先の未来へ旅立つ,https://gameconductor.com/dqrivals/c/d/1535,official_detail_url_present_in_cards_json,REVIEW_NAME_MENTIONED_ONLY,yes,no,fortune|skill_link|turn_start|random|cost_change|hand|basic_keyword,A_COMPLEX_NAME_ONLY,通常/必中/超必中、占い(1)/(2)誘発リスナーを確認。,PASS2_STILL_QUEUE,第2段階では未処理。次パスで公式DB詳細URL/効果文と実装を照合。,PATCHED_OR_RECONFIRMED,再確認済み：ターン開始時ランダム占いカードをコスト-1で手札へ、スキルリンクで一時離脱。
