id,name,cost,cardType,classes,tribes,deckBuildable,text,triggers,appNameOccurrences,genericCoverage,complexScore,risk,officialUrl,v250Status,v250Note,v252Status,v252Note,v253Status,v253Note,v254Status,v254Note,v255Status,v255Note,v256Status,v256Note
card_a7a6eabe,メラゴースト,1,ユニット,共通,なし,True,召喚時：1ダメージを与える,召喚時|ダメージ,0,,1,HIGH_NO_NAME_NO_GENERIC,https://gameconductor.com/dqrivals/c/d/3,IMPLEMENTED_V250,v250個別実装: 召喚時、敵ユニット/敵リーダーへ1ダメージ対象選択。,IMPLEMENTED_V250,v250個別実装: 召喚時、敵ユニット/敵リーダーへ1ダメージ対象選択。,IMPLEMENTED_V250,v250個別実装: 召喚時、敵ユニット/敵リーダーへ1ダメージ対象選択。,IMPLEMENTED_V250,v250個別実装: 召喚時、敵ユニット/敵リーダーへ1ダメージ対象選択。,IMPLEMENTED_V250,v250個別実装: 召喚時、敵ユニット/敵リーダーへ1ダメージ対象選択。,IMPLEMENTED_V250,v250個別実装: 召喚時、敵ユニット/敵リーダーへ1ダメージ対象選択。
card_d8e3589a,バブルスライム,1,ユニット,共通,スライム,True,ダメージを与えたユニットを毒にする,毒|ダメージ,0,,0,HIGH_NO_NAME_NO_GENERIC,https://gameconductor.com/dqrivals/c/d/32,IMPLEMENTED_V250,v250個別実装: ダメージを与えたユニットを毒にするフラグ付与。,IMPLEMENTED_V250,v250個別実装: ダメージを与えたユニットを毒にするフラグ付与。,IMPLEMENTED_V250,v250個別実装: ダメージを与えたユニットを毒にするフラグ付与。,IMPLEMENTED_V250,v250個別実装: ダメージを与えたユニットを毒にするフラグ付与。,IMPLEMENTED_V250,v250個別実装: ダメージを与えたユニットを毒にするフラグ付与。,IMPLEMENTED_V250,v250個別実装: ダメージを与えたユニットを毒にするフラグ付与。
card_c762fb53,いたずらもぐら,1,ユニット,共通,なし,True,テンションリンク： 攻撃力+1,テンションリンク,0,,1,HIGH_NO_NAME_NO_GENERIC,https://gameconductor.com/dqrivals/c/d/33,EXISTING_GENERIC_OK_V250,既存汎用確認: テンションリンク+攻撃力+1は triggerTensionLinks の汎用処理で処理。,EXISTING_GENERIC_OK_V250,既存汎用確認: テンションリンク+攻撃力+1は triggerTensionLinks の汎用処理で処理。,EXISTING_GENERIC_OK_V250,既存汎用確認: テンションリンク+攻撃力+1は triggerTensionLinks の汎用処理で処理。,EXISTING_GENERIC_OK_V250,既存汎用確認: テンションリンク+攻撃力+1は triggerTensionLinks の汎用処理で処理。,EXISTING_GENERIC_OK_V250,既存汎用確認: テンションリンク+攻撃力+1は triggerTensionLinks の汎用処理で処理。,EXISTING_GENERIC_OK_V250,既存汎用確認: テンションリンク+攻撃力+1は triggerTensionLinks の汎用処理で処理。
card_1322ef2c,おばけキャンドル,1,ユニット,共通,なし,True,死亡時：ランダムな敵1体に1ダメージ,死亡時|ダメージ|ランダム,0,,2,HIGH_COMPLEX_NO_EXPLICIT_NAME,https://gameconductor.com/dqrivals/c/d/35,EXISTING_GENERIC_OK_V250,既存汎用確認: 死亡時ランダムな敵1体に1ダメージは applyTextMiniEffect のランダム敵処理で処理。,EXISTING_GENERIC_OK_V250,既存汎用確認: 死亡時ランダムな敵1体に1ダメージは applyTextMiniEffect のランダム敵処理で処理。,EXISTING_GENERIC_OK_V250,既存汎用確認: 死亡時ランダムな敵1体に1ダメージは applyTextMiniEffect のランダム敵処理で処理。,EXISTING_GENERIC_OK_V250,既存汎用確認: 死亡時ランダムな敵1体に1ダメージは applyTextMiniEffect のランダム敵処理で処理。,EXISTING_GENERIC_OK_V250,既存汎用確認: 死亡時ランダムな敵1体に1ダメージは applyTextMiniEffect のランダム敵処理で処理。,EXISTING_GENERIC_OK_V250,既存汎用確認: 死亡時ランダムな敵1体に1ダメージは applyTextMiniEffect のランダム敵処理で処理。
card_dd2f4cdc,おばけヒトデ,1,ユニット,共通,なし,True,死亡時：ランダムな味方ユニット1体の攻撃力+2,死亡時|ランダム,0,,2,HIGH_COMPLEX_NO_EXPLICIT_NAME,https://gameconductor.com/dqrivals/c/d/37,EXISTING_GENERIC_OK_V250,既存汎用確認: 死亡時ランダム味方ユニット攻撃力+2は applyTextMiniEffect のランダム味方強化で処理。,EXISTING_GENERIC_OK_V250,既存汎用確認: 死亡時ランダム味方ユニット攻撃力+2は applyTextMiniEffect のランダム味方強化で処理。,EXISTING_GENERIC_OK_V250,既存汎用確認: 死亡時ランダム味方ユニット攻撃力+2は applyTextMiniEffect のランダム味方強化で処理。,EXISTING_GENERIC_OK_V250,既存汎用確認: 死亡時ランダム味方ユニット攻撃力+2は applyTextMiniEffect のランダム味方強化で処理。,EXISTING_GENERIC_OK_V250,既存汎用確認: 死亡時ランダム味方ユニット攻撃力+2は applyTextMiniEffect のランダム味方強化で処理。,EXISTING_GENERIC_OK_V250,既存汎用確認: 死亡時ランダム味方ユニット攻撃力+2は applyTextMiniEffect のランダム味方強化で処理。
card_4d7fa9dd,おおくちばし,1,ユニット,共通,なし,True,召喚時：後列にいるユニット1体に1ダメージ,召喚時|ダメージ,0,,1,HIGH_NO_NAME_NO_GENERIC,https://gameconductor.com/dqrivals/c/d/38,IMPLEMENTED_V250,v250個別実装: 召喚時、後列ユニット1体に1ダメージ。,IMPLEMENTED_V250,v250個別実装: 召喚時、後列ユニット1体に1ダメージ。,IMPLEMENTED_V250,v250個別実装: 召喚時、後列ユニット1体に1ダメージ。,IMPLEMENTED_V250,v250個別実装: 召喚時、後列ユニット1体に1ダメージ。,IMPLEMENTED_V250,v250個別実装: 召喚時、後列ユニット1体に1ダメージ。,IMPLEMENTED_V250,v250個別実装: 召喚時、後列ユニット1体に1ダメージ。
card_521e84df,ゆめにゅうどう,1,ユニット,共通,なし,True,召喚時：後列にいるユニット1体を前列に移動させる,召喚時,0,,1,HIGH_NO_NAME_NO_GENERIC,https://gameconductor.com/dqrivals/c/d/39,IMPLEMENTED_V250,v250個別実装: 召喚時、後列ユニット1体を空いている前列へ移動。,IMPLEMENTED_V250,v250個別実装: 召喚時、後列ユニット1体を空いている前列へ移動。,IMPLEMENTED_V250,v250個別実装: 召喚時、後列ユニット1体を空いている前列へ移動。,IMPLEMENTED_V250,v250個別実装: 召喚時、後列ユニット1体を空いている前列へ移動。,IMPLEMENTED_V250,v250個別実装: 召喚時、後列ユニット1体を空いている前列へ移動。,IMPLEMENTED_V250,v250個別実装: 召喚時、後列ユニット1体を空いている前列へ移動。
card_95f69f39,オニオーン,1,ユニット,共通,なし,True,テンションリンク：味方リーダーのHPを1回復,テンションリンク|回復,0,,1,HIGH_NO_NAME_NO_GENERIC,https://gameconductor.com/dqrivals/c/d/41,EXISTING_GENERIC_OK_V250,既存汎用確認: テンションリンク味方リーダーHP1回復は triggerTensionLinks の回復汎用処理で処理。,EXISTING_GENERIC_OK_V250,既存汎用確認: テンションリンク味方リーダーHP1回復は triggerTensionLinks の回復汎用処理で処理。,EXISTING_GENERIC_OK_V250,既存汎用確認: テンションリンク味方リーダーHP1回復は triggerTensionLinks の回復汎用処理で処理。,EXISTING_GENERIC_OK_V250,既存汎用確認: テンションリンク味方リーダーHP1回復は triggerTensionLinks の回復汎用処理で処理。,EXISTING_GENERIC_OK_V250,既存汎用確認: テンションリンク味方リーダーHP1回復は triggerTensionLinks の回復汎用処理で処理。,EXISTING_GENERIC_OK_V250,既存汎用確認: テンションリンク味方リーダーHP1回復は triggerTensionLinks の回復汎用処理で処理。
card_8df130e3,ブラックルーン,7,ユニット,共通,なし,True,特技ダメージ+2,ダメージ,0,,1,HIGH_NO_NAME_NO_GENERIC,https://gameconductor.com/dqrivals/c/d/88,EXISTING_GENERIC_OK_V250,既存汎用確認: 特技ダメージ+2は getSpellDamageBonus の本文正規表現で反映。二重加算しないよう個別加算は入れていない。,EXISTING_GENERIC_OK_V250,既存汎用確認: 特技ダメージ+2は getSpellDamageBonus の本文正規表現で反映。二重加算しないよう個別加算は入れていない。,EXISTING_GENERIC_OK_V250,既存汎用確認: 特技ダメージ+2は getSpellDamageBonus の本文正規表現で反映。二重加算しないよう個別加算は入れていない。,EXISTING_GENERIC_OK_V250,既存汎用確認: 特技ダメージ+2は getSpellDamageBonus の本文正規表現で反映。二重加算しないよう個別加算は入れていない。,EXISTING_GENERIC_OK_V250,既存汎用確認: 特技ダメージ+2は getSpellDamageBonus の本文正規表現で反映。二重加算しないよう個別加算は入れていない。,EXISTING_GENERIC_OK_V250,既存汎用確認: 特技ダメージ+2は getSpellDamageBonus の本文正規表現で反映。二重加算しないよう個別加算は入れていない。
card_1fab9780,ねこまどう,1,ユニット,共通,なし,True,自分のターン終了時ランダムな敵1体に1ダメージ,自分のターン終了時|ダメージ|ランダム,0,,1,HIGH_COMPLEX_NO_EXPLICIT_NAME,https://gameconductor.com/dqrivals/c/d/89,IMPLEMENTED_V250,v250個別実装: 自分のターン終了時、ランダムな敵1体に1ダメージ。,IMPLEMENTED_V250,v250個別実装: 自分のターン終了時、ランダムな敵1体に1ダメージ。,IMPLEMENTED_V250,v250個別実装: 自分のターン終了時、ランダムな敵1体に1ダメージ。,IMPLEMENTED_V250,v250個別実装: 自分のターン終了時、ランダムな敵1体に1ダメージ。,IMPLEMENTED_V250,v250個別実装: 自分のターン終了時、ランダムな敵1体に1ダメージ。,IMPLEMENTED_V250,v250個別実装: 自分のターン終了時、ランダムな敵1体に1ダメージ。
