name,category,note
ドラゴンガイア,dragon,敵からの特技ダメージのみ防ぐ判定に修正
オリハルゴン,dragon,リーダー再攻撃防止を補強
ワイバーンドッグ,dragon,れんけい対象を無傷の敵ユニットのみに修正
しにがみ,cost2,2回攻撃
じごくのハサミ,cost2,絶好調中、相手ターンに受けるダメージ1
キメラ,cost2,ユニット1体の前後入れ替えをモーダル選択
キラークラブ,cost2,味方武器に反撃ダメージ-2
サーベルきつね,cost2,上下の味方ユニット攻撃力+1
シャドー,cost2,効果対象不可
ナスビナーラ,cost2,ユニット1体を縦1列中央へ移動
パペットこぞう,cost2,占い：テンション-1 / +1/+1
ビッグハンマー,cost2,建物サーチ→手札1枚破棄
ファーリス王子,cost2,ターン終了時ブロック中ならテンション+1、1ドロー
フレイム,cost2,前列なら攻撃力+3
プークプック,cost2,前後の味方ユニット攻撃力+1
ホミロン軍曹,cost2,合計2+味方スライム数ダメージをランダム敵ユニットへ割り振り（正面マス厳密処理は要確認）
とつげきこぞう,cost2,正面に敵ユニットがいないと攻撃不可、リーダー攻撃不可
どくやずきん,cost2,相手がデッキからカードを手札に加える度、敵リーダー1ダメージ
ひとくいサーベル,cost2,味方リーダーの攻撃で敵ユニットを倒す度、敵リーダー1ダメージ
エビルアップル,cost2,ヒーロースキル使用ターン中、手札の自身コスト-2
