pool,cost,name,status,risk,keywords,text,officialUrl
cost4_5_unit,4,リビングスタチュー,basic_keyword_or_no_text,simple,,におうだち,https://gameconductor.com/dqrivals/c/d/11
cost4_5_unit,4,りゅうき兵,remaining_for_next_pass,simple,,効果なし,https://gameconductor.com/dqrivals/c/d/12
cost4_5_unit,5,ストーンマン,basic_keyword_or_no_text,simple,,におうだち,https://gameconductor.com/dqrivals/c/d/13
cost4_5_unit,5,バアルゼブブ,v240_added_or_reinforced,complex,召喚時|敵リーダー,召喚時：敵リーダーに3ダメージ,https://gameconductor.com/dqrivals/c/d/14
cost4_5_unit,4,ぐんたいガニ,v240_added_or_reinforced,complex,ターン開始|出す,自分のターン開始時このユニットの前後にぐんたいガニを出す,https://gameconductor.com/dqrivals/c/d/24
cost4_5_unit,4,バイキングソウル,existing_trace,simple,,正面にいるユニットと戦闘をする場合このターン中攻撃力+3,https://gameconductor.com/dqrivals/c/d/25
cost4_5_unit,4,キラーパンサー,v240_added_or_reinforced,complex,召喚時,召喚時：敵ユニットが3体以上いる場合速攻を得る,https://gameconductor.com/dqrivals/c/d/26
cost4_5_unit,4,プリーストナイト,v240_added_or_reinforced,complex,召喚時|ランダム,召喚時：ダメージを受けているランダムな味方1体のHPを3回復,https://gameconductor.com/dqrivals/c/d/27
cost4_5_unit,4,シールドオーガ,v240_added_or_reinforced,complex,召喚時|味方リーダー,召喚時：味方リーダーのHPが15以下の場合+2/+2とにおうだちを得る,https://gameconductor.com/dqrivals/c/d/28
cost4_5_unit,5,アックスドラゴン,existing_trace,complex,召喚時,召喚時：ユニット1体に1ダメージを与えた後「受けるダメージ2倍」を付与する。,https://gameconductor.com/dqrivals/c/d/29
cost4_5_unit,5,レッドアーチャー,v240_added_or_reinforced,complex,召喚時|味方リーダー,召喚時：味方リーダーのHPが20以上の場合このユニットは攻撃力+2とねらい撃ちを得る,https://gameconductor.com/dqrivals/c/d/30
cost4_5_unit,4,サイレス,v240_added_or_reinforced,complex,召喚時|封印,召喚時：ユニット1体を封印する,https://gameconductor.com/dqrivals/c/d/77
cost4_5_unit,4,グール,remaining_for_next_pass,complex,毒,ダメージを与えたユニットを毒にする,https://gameconductor.com/dqrivals/c/d/78
cost4_5_unit,4,きとうし,remaining_for_next_pass,complex,特技,特技ダメージ+1,https://gameconductor.com/dqrivals/c/d/79
cost4_5_unit,4,あらくれチャッピー,v240_added_or_reinforced,complex,召喚時,召喚時：ユニット1体に2ダメージ,https://gameconductor.com/dqrivals/c/d/80
cost4_5_unit,4,亡者のひとだま,remaining_for_next_pass,simple,,このユニットは効果の対象にならない,https://gameconductor.com/dqrivals/c/d/81
cost4_5_unit,5,ひくいどり,basic_keyword_or_no_text,simple,,貫通,https://gameconductor.com/dqrivals/c/d/82
cost4_5_unit,5,しにがみのきし,v240_added_or_reinforced,complex,召喚時|移動,召喚時：前列にいるユニット1体を後列に移動させる,https://gameconductor.com/dqrivals/c/d/83
cost4_5_unit,5,トロル,v240_added_or_reinforced,simple,,受けるダメージ2倍,https://gameconductor.com/dqrivals/c/d/84
cost4_5_unit,5,かげのきし,basic_keyword_or_no_text,simple,,ステルス,https://gameconductor.com/dqrivals/c/d/85
cost4_5_unit,4,ブルベリーノ,v240_added_or_reinforced,complex,召喚時,召喚時：カードを1枚引く,https://gameconductor.com/dqrivals/c/d/113
cost4_5_unit,4,メッサーラ,v240_added_or_reinforced,complex,召喚時,召喚時：縦1列にいる全ての敵ユニットに1ダメージ,https://gameconductor.com/dqrivals/c/d/114
cost4_5_unit,4,オークキング,v240_added_or_reinforced,complex,召喚時,貫通、召喚時：HPを2回復,https://gameconductor.com/dqrivals/c/d/115
cost4_5_unit,4,シルバーデビル,remaining_for_next_pass,simple,,ねらい撃ち、2回攻撃,https://gameconductor.com/dqrivals/c/d/116
