pool,name,cost,attack,hp,class,tribe,official_effect_text_from_cards_json,official_url,official_reference_status,v230_static_status,name_in_app_js,tracked_in_implemented_reports,mechanics_detected,risk_priority,recommended_next_action
cost2_unit_random_pool,あおだけ童子,2,2,3,商人,なし,召喚時：このカード以外の自分の手札が6枚以上ある場合攻撃力+2,https://gameconductor.com/dqrivals/c/d/296,official_detail_url_present_in_cards_json,OK_TRACKED_IMPLEMENTED,yes,yes,summon|hand,D_LOW_RISK_EVIDENCE_OK,低リスク。汎用キーワード/効果なし/既実装証跡として二次確認へ。
cost2_unit_random_pool,あくましんかん,2,2,2,占い師,なし,占い：(1)「死亡時：この場所に復活する」を得る(2)におうだちHP+1,https://gameconductor.com/dqrivals/c/d/1003,official_detail_url_present_in_cards_json,REVIEW_NAME_MENTIONED_ONLY,yes,no,death|fortune|basic_keyword,A_COMPLEX_NAME_ONLY,通常/必中/超必中、占い(1)/(2)誘発リスナーを確認。
cost2_unit_random_pool,あくまのす,2,2,3,魔法使い,なし,自分が特技を使う度このユニットのHP+1,https://gameconductor.com/dqrivals/c/d/951,official_detail_url_present_in_cards_json,OK_TRACKED_IMPLEMENTED,yes,yes,spell_used,C_COMPLEX_BUT_HAS_EVIDENCE,実装証跡あり。ただし複合効果なので実機/ソロテストで再確認。
cost2_unit_random_pool,あくまのめだま,2,2,3,魔法使い,ゾンビ,召喚時：次に場に出る魔王系の味方ユニットにねらい撃ちと攻撃力+1を付与する,https://gameconductor.com/dqrivals/c/d/1080,official_detail_url_present_in_cards_json,REVIEW_NAME_MENTIONED_ONLY,yes,no,summon|basic_keyword,B_NAME_ONLY_RECHECK,低リスク。汎用キーワード/効果なし/既実装証跡として二次確認へ。
cost2_unit_random_pool,あくまの書,2,2,2,魔法使い,なし,れんけい：自分の手札のコスト2以下のユニットカードを2枚選び、そのコピーを手札に加える。ターン終了時、この効果で加えたカードが手札にあれば破棄する。,https://gameconductor.com/dqrivals/c/d/1256,official_detail_url_present_in_cards_json,REVIEW_NAME_MENTIONED_ONLY,yes,no,renkei|turn_end|copy|cost_change|hand,A_COMPLEX_NAME_ONLY,テンション3条件のみ・テンション非消費・対象/場に出す/召喚時不発を確認。
cost2_unit_random_pool,あばれザル,2,3,2,武闘家,なし,絶好調、死亡時：このユニットが絶好調状態ならカードを1枚引く,https://gameconductor.com/dqrivals/c/d/873,official_detail_url_present_in_cards_json,REVIEW_NAME_MENTIONED_ONLY,yes,no,death|zekkocho|draw,A_COMPLEX_NAME_ONLY,死亡時のみ。消滅/変身/手札戻しでは発動しないことを確認。
cost2_unit_random_pool,あばれ足鳥,2,2,2,占い師,なし,占い:(1)速攻と貫通を得る、(2)+1/+1,https://gameconductor.com/dqrivals/c/d/1293,official_detail_url_present_in_cards_json,REVIEW_NAME_MENTIONED_ONLY,yes,no,fortune|basic_keyword,A_COMPLEX_NAME_ONLY,通常/必中/超必中、占い(1)/(2)誘発リスナーを確認。
cost2_unit_random_pool,いっかくうさぎ,2,2,1,共通,なし,速攻,https://gameconductor.com/dqrivals/c/d/6,official_detail_url_present_in_cards_json,OK_GENERIC_BASIC_KEYWORD,no,no,basic_keyword,D_LOW_RISK_EVIDENCE_OK,低リスク。汎用キーワード/効果なし/既実装証跡として二次確認へ。
cost2_unit_random_pool,うみうし,2,2,1,盗賊,なし,召喚時&手札から捨てた時：1/2のおおなめくじを1体出す,https://gameconductor.com/dqrivals/c/d/1405,official_detail_url_present_in_cards_json,OK_TRACKED_IMPLEMENTED,yes,yes,summon|discard_from_hand|put_into_play|hand,B_RECENTLY_FIXED_RECHECK,直近修正済み。公式文面との一致を再テスト対象にする。
cost2_unit_random_pool,おおがらす,2,1,3,魔剣士,なし,死亡時：カードを1枚引く,https://gameconductor.com/dqrivals/c/d/354,official_detail_url_present_in_cards_json,REVIEW_NAME_MENTIONED_ONLY,yes,no,death|draw,B_NAME_ONLY_RECHECK,低リスク。汎用キーワード/効果なし/既実装証跡として二次確認へ。
cost2_unit_random_pool,おおきづち,2,1,3,共通,なし,テンションリンク：このターン中攻撃力+2,https://gameconductor.com/dqrivals/c/d/54,official_detail_url_present_in_cards_json,REVIEW_NAME_MENTIONED_ONLY,yes,no,tension_link,A_COMPLEX_NAME_ONLY,公式文面どおり個別実装の有無を確認。
cost2_unit_random_pool,おおにわとり,2,2,1,武闘家,なし,召喚時：ランダムなコスト2以下の味方建物1つの耐久値+1、味方建物がないなら自分のデッキからコスト2以下の建物カードを1枚引く,https://gameconductor.com/dqrivals/c/d/1362,official_detail_url_present_in_cards_json,REVIEW_NAME_MENTIONED_ONLY,yes,no,summon|random|deck_search|draw|cost_change|building,A_COMPLEX_NAME_ONLY,手札から召喚時のみ発動。ランダムで場に出た場合に発動しないことを確認。
cost2_unit_random_pool,おおめだま,2,3,2,共通,なし,召喚時:全てのユニットのステルスを解除する。解除した数分+1/+2を得る。,https://gameconductor.com/dqrivals/c/d/788,official_detail_url_present_in_cards_json,REVIEW_NAME_MENTIONED_ONLY,yes,no,summon|stealth_clear|basic_keyword,B_NAME_ONLY_RECHECK,低リスク。汎用キーワード/効果なし/既実装証跡として二次確認へ。
cost2_unit_random_pool,おおドラキー,2,2,2,僧侶,なし,ねらい撃ち、召喚時：味方ヒーローがいる場合2/1のドラキーを1体出す,https://gameconductor.com/dqrivals/c/d/844,official_detail_url_present_in_cards_json,REVIEW_NAME_MENTIONED_ONLY,yes,no,summon|put_into_play|basic_keyword,B_NAME_ONLY_RECHECK,低リスク。汎用キーワード/効果なし/既実装証跡として二次確認へ。
cost2_unit_random_pool,おにびドングリ,2,2,2,魔剣士,なし,召喚時:このターン中ユニットが死亡しているなら魔力開放1枚を手札に加える,https://gameconductor.com/dqrivals/c/d/1300,official_detail_url_present_in_cards_json,REVIEW_NAME_MENTIONED_ONLY,yes,no,summon|hand,A_COMPLEX_NAME_ONLY,手札から召喚時のみ発動。ランダムで場に出た場合に発動しないことを確認。
cost2_unit_random_pool,おばけキノコ,2,2,2,共通,なし,死亡時：ランダムな敵1体を次のターン攻撃不能にする,https://gameconductor.com/dqrivals/c/d/49,official_detail_url_present_in_cards_json,OK_TRACKED_IMPLEMENTED,yes,yes,death|random,D_LOW_RISK_EVIDENCE_OK,低リスク。汎用キーワード/効果なし/既実装証跡として二次確認へ。
cost2_unit_random_pool,おばけパラソル,2,2,2,商人,なし,れんけい：敵1体に2ダメージ,https://gameconductor.com/dqrivals/c/d/1282,official_detail_url_present_in_cards_json,OK_TRACKED_IMPLEMENTED,yes,yes,renkei,C_COMPLEX_BUT_HAS_EVIDENCE,実装証跡あり。ただし複合効果なので実機/ソロテストで再確認。
cost2_unit_random_pool,おむつっこり,2,3,2,共通,なし,召喚時：HPを2回復,https://gameconductor.com/dqrivals/c/d/56,official_detail_url_present_in_cards_json,OK_TRACKED_IMPLEMENTED,yes,yes,summon,D_LOW_RISK_EVIDENCE_OK,低リスク。汎用キーワード/効果なし/既実装証跡として二次確認へ。
cost2_unit_random_pool,かくれんぼう,2,2,2,共通,なし,ステルス、れんけい：カードを1枚引く,https://gameconductor.com/dqrivals/c/d/1329,official_detail_url_present_in_cards_json,REVIEW_NAME_MENTIONED_ONLY,yes,no,renkei|draw|basic_keyword,A_COMPLEX_NAME_ONLY,テンション3条件のみ・テンション非消費・対象/場に出す/召喚時不発を確認。
cost2_unit_random_pool,かまいたち,2,2,2,共通,なし,召喚時：前列にいる他の全てのユニットに1ダメージ,https://gameconductor.com/dqrivals/c/d/1232,official_detail_url_present_in_cards_json,OK_TRACKED_IMPLEMENTED,yes,yes,summon|position,D_LOW_RISK_EVIDENCE_OK,低リスク。汎用キーワード/効果なし/既実装証跡として二次確認へ。
cost2_unit_random_pool,かれくさネズミ,2,2,1,商人,なし,味方ヒーローのヒーロースキルが発動する度メタルスライムを1体出す,https://gameconductor.com/dqrivals/c/d/742,official_detail_url_present_in_cards_json,OK_TRACKED_IMPLEMENTED,yes,yes,put_into_play,D_LOW_RISK_EVIDENCE_OK,低リスク。汎用キーワード/効果なし/既実装証跡として二次確認へ。
cost2_unit_random_pool,きめんどうし,2,2,3,占い師,なし,召喚時：自分のデッキの上からカードを2枚見る。1枚をデッキの上に戻し残りをデッキの下に戻す。,https://gameconductor.com/dqrivals/c/d/319,official_detail_url_present_in_cards_json,REVIEW_NAME_MENTIONED_ONLY,yes,no,summon|deck_top,A_COMPLEX_NAME_ONLY,手札から召喚時のみ発動。ランダムで場に出た場合に発動しないことを確認。
cost2_unit_random_pool,きりかぶおばけ,2,2,2,僧侶,なし,召喚時：GET(1)。BET：1ターンに1回のみ、他のランダムな味方ユニットのHP+2。,https://gameconductor.com/dqrivals/c/d/1124,official_detail_url_present_in_cards_json,REVIEW_NAME_MENTIONED_ONLY,yes,no,summon|bet|get|random,A_COMPLEX_NAME_ONLY,GET/BET入口、1ターン1回制限、累積カウント、コイン消費時誘発を確認。
cost2_unit_random_pool,くしざしツインズ,2,1,2,共通,なし,味方リーダーの武器の攻撃力+1,https://gameconductor.com/dqrivals/c/d/96,official_detail_url_present_in_cards_json,OK_TRACKED_IMPLEMENTED,yes,yes,,D_LOW_RISK_EVIDENCE_OK,低リスク。汎用キーワード/効果なし/既実装証跡として二次確認へ。
cost2_unit_random_pool,くものきょじん,2,2,3,商人,なし,死亡時:死亡したマスの地形を宝箱に変える。 この効果で地形の上書きはできない。,https://gameconductor.com/dqrivals/c/d/481,official_detail_url_present_in_cards_json,OK_TRACKED_IMPLEMENTED,yes,yes,death|terrain,D_LOW_RISK_EVIDENCE_OK,低リスク。汎用キーワード/効果なし/既実装証跡として二次確認へ。
